FID,Long,Lat,Segment,seg_length,n,river_mean,river_medi,river_p20,river_p80,river_min,river_max,land_mean,land_media,land_p20,land_p80,land_min,land_max,width_mean,width_medi,width_p20,width_p80,width_min,width_max,width_sd,averaged,DEM_mean,DEM_median,DEM_p20,DEM_p80,DEM_min,DEM_max,DEM_sd,DEM_n
10,89.329795521299999,22.282541058900001,11,79.842622480399996,6,32.478154130000000,31.475015270000000,27.474473889999999,38.752093039999998,26.510569369999999,39.181757939999997,34.741900700000002,34.532306390000002,31.894180519999999,40.821997869999997,25.376851030000001,41.293761990000000,3.656770514000000,3.374797369000000,2.878237829000000,4.372703654000000,2.553770861000000,5.386315999000000,1.079742508000000,original,4.926818482000000,4.551040200000000,4.500324080000000,5.605807960000000,4.308750200000000,5.728630100000000,0.543292220000000,79
11,89.330478000100001,22.283181652800000,12,100.000043110999997,6,27.133103689999999,27.204464420000001,26.203489709999999,28.320881640000000,24.807115090000000,29.058206869999999,37.016020279999999,37.066352660000000,35.621490170000001,38.673271300000003,34.508942370000000,39.159712519999999,5.266674788000000,5.303113204000000,5.150632000000000,5.514276286000000,4.802174308000000,5.526739726000000,0.277832153000000,original,5.826834483000000,5.805850050000000,5.751069980000000,5.909186000000000,5.700739900000000,6.004260100000000,0.086329254000000,100
12,89.331134125800006,22.283840031299999,13,99.999965791799994,8,23.305381199999999,23.331244070000000,20.823523909999999,25.715058599999999,20.225783799999999,26.455674389999999,32.006153040000001,30.673322200000001,30.264976210000000,34.896172100000001,28.348451239999999,36.608147570000000,4.048193353000000,3.944705454000000,3.388606299000000,4.708898279000000,3.361827814000000,4.953198487000000,0.665051353000000,original,6.182664240000000,6.331200100000000,5.880668080000000,6.472858080000000,5.763929800000000,6.516670200000000,0.283159871000000,99
13,89.331705263299995,22.284560098099998,14,99.999988183699998,9,18.504264259999999,18.519953409999999,17.408329710000000,19.523830780000001,16.152689599999999,21.264013810000002,24.827326119999999,25.136524550000001,23.439138740000001,26.155928560000000,21.401580599999999,27.783303910000001,4.147008075000000,4.153584501000000,3.893637029000000,4.349249472000000,3.855817636000000,4.559298280000000,0.250397129000000,original,6.172542426000000,6.350979800000000,5.804120160000000,6.488475900000000,5.088349800000000,6.636879900000000,0.392710237000000,99
14,89.331537688899999,22.285421990400000,15,100.000006537999994,11,22.245261220000000,21.769117019999999,19.693180450000000,25.594879580000001,18.615098520000000,28.481715439999999,27.259323580000000,26.396238050000001,24.912519600000000,30.318770430000001,23.155126549999999,32.783967189999998,6.811967113000000,7.008060562000000,6.314764104000000,8.316114312000000,4.038503059000000,8.802878439000001,1.528910878000000,original,6.562262290000000,6.619960100000000,6.474523840000000,6.679532160000000,5.786270100000000,6.706240200000000,0.172555973000000,100
15,89.330776579100004,22.285978695600001,16,99.999971926599997,4,28.776503470000002,27.934242410000000,26.366282259999998,30.849820250000000,25.751160930000001,33.486368110000001,30.687981610000001,31.463508040000001,29.109695680000002,32.576478119999997,26.754186369999999,33.070723979999997,5.789554105000000,5.814821258000000,5.597430992000000,5.991784080000000,5.391389662000000,6.137184243000000,0.312766099000000,original,6.509817361000000,6.521100000000000,6.399305800000000,6.602739800000000,6.198840100000000,6.752170100000000,0.113252103000000,99
16,89.329966185000004,22.286474507600001,17,100.000011338999997,4,33.332040569999997,33.561616520000001,28.873082620000002,37.882828900000000,24.391544100000001,41.813385120000000,38.531955160000003,39.523410960000000,34.252873469999997,43.207619180000002,28.560917580000002,46.520081140000002,4.996703659000000,4.956559229000000,4.557880389000000,5.419469157000000,4.498517205000000,5.575178976000000,0.530395156000000,original,6.599557411000000,6.604290050000000,6.510588100000000,6.681074040000000,6.440430200000000,6.709410200000000,0.078271974000000,100
17,89.182365141600002,22.299387538400001,18,71.849180343399993,4,30.187564600000002,28.607004799999999,24.879313780000000,34.863591499999998,20.641482470000000,42.894766349999998,39.328041360000000,40.130759750000003,37.499106400000002,41.478063669999997,35.293329059999998,41.757316860000003,4.392301798000000,4.307912476000000,3.782026149000000,4.968821717000000,3.627078715000000,5.326303526000000,0.780881981000000,original,2.885206056000000,2.880810000000000,2.845730100000000,2.936280000000000,2.628030100000000,2.991100100000000,0.060018619000000,71
18,89.280166016500004,22.314818330200001,19,58.587828722300003,1,30.127261340000000,30.127261340000000,30.127261340000000,30.127261340000000,30.127261340000000,30.127261340000000,37.212039279999999,37.212039279999999,37.212039279999999,37.212039279999999,37.212039279999999,37.212039279999999,8.976654322000000,8.976654322000000,8.976654322000000,8.976654322000000,8.976654322000000,8.976654322000000,0.529438469000000,averaged,2.715558962000000,2.662800100000000,2.582690060000000,2.848849900000000,2.516010000000000,3.191499900000000,0.164121082000000,58
19,89.268720630199994,22.324962394100002,20,24.904115068300001,1,36.723129030000003,36.723129030000003,36.723129030000003,36.723129030000003,36.723129030000003,36.723129030000003,51.109990130000000,51.109990130000000,51.109990130000000,51.109990130000000,51.109990130000000,51.109990130000000,4.223539540000000,4.223539540000000,4.223539540000000,4.223539540000000,4.223539540000000,4.223539540000000,0.603593659000000,averaged,4.229692500000000,4.219035150000000,4.205891920000000,4.260522060000000,4.152720000000000,4.306139900000000,0.038557324000000,24
20,89.097521899800000,22.208551575100000,21,100.000056537999995,7,24.278612400000000,15.836784760000000,9.442124008000000,35.974804220000003,7.152100407000000,57.703886390000001,31.230894200000002,34.661984889999999,13.813738700000000,45.011834080000000,12.705147040000000,59.102381180000002,4.473888393000000,4.318482286000000,4.226959423000000,4.810499595000000,4.178609917000000,5.024730442000000,0.348968223000000,original,3.516690992000000,3.502295000000000,3.449533920000000,3.572051940000000,3.388289900000000,3.712160100000000,0.078781742000000,100
21,89.127069335000002,22.186045148600002,22,99.999975421800002,3,17.819798089999999,17.262005970000001,15.828304460000000,19.699733299999998,14.872503460000001,21.324884850000000,35.339115270000001,32.625038820000000,31.669404490000002,38.466010750000002,31.032314939999999,42.359992040000002,4.717456607000000,5.029799500000000,4.378169007000000,5.119212786000000,3.943748678000000,5.178821643000000,0.674180887000000,original,3.278486567000000,3.328350100000000,3.162688020000000,3.379097960000000,3.029340000000000,3.407079900000000,0.108288326000000,99
